Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data fat rice chicago,Chicago,US,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data fat rice chicago,Chicago,US,2,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data fat rice chicago,Chicago,US,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data fat rice chicago,Chicago,US,3,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data fat rice chicago,Chicago,US,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data fat rice chicago,Chicago,US,4,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data fat rice chicago,Chicago,US,4,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data fat rice chicago,Chicago,US,5,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data fat rice chicago,Chicago,US,5,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data fat rice chicago,Chicago,US,6,1100,1500
