Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,0,0700,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,0,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,1,0700,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,2,0700,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,3,0700,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,4,0700,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,4,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,5,0900,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,5,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,6,0900,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data firefly washington,Washington,US,6,1730,2200
