Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data flip n patties houston,Houston,US,0,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data flip n patties houston,Houston,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data flip n patties houston,Houston,US,1,1600,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data flip n patties houston,Houston,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data flip n patties houston,Houston,US,2,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data flip n patties houston,Houston,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data flip n patties houston,Houston,US,3,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data flip n patties houston,Houston,US,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data flip n patties houston,Houston,US,4,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data flip n patties houston,Houston,US,5,1200,2200
