Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,0,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,1,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,2,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,3,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,4,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,4,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,5,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data forno     phoenix,Phoenix,US,6,1700,0000
