Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,0,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,0,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,1,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,2,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,3,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,4,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,4,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,5,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data frans filling station charlotte,Charlotte,US,5,1730,2300
