Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,0,0600,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,0,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,0,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,1,0600,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,1,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,1,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,2,0600,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,2,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,2,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,3,0600,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,3,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,3,1600,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,4,0600,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,4,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,4,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,5,0600,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,5,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,5,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,6,0600,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,6,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data hangar bar and grill san jose,San Jose,US,6,1600,2200
