Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data hanul korean san jose,San Jose,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data hanul korean san jose,San Jose,US,1,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hanul korean san jose,San Jose,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data hanul korean san jose,San Jose,US,2,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hanul korean san jose,San Jose,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data hanul korean san jose,San Jose,US,3,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hanul korean san jose,San Jose,US,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data hanul korean san jose,San Jose,US,4,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hanul korean san jose,San Jose,US,5,1100,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hanul korean san jose,San Jose,US,6,1100,2130
