Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data hunan taste restaurant san jose,San Jose,US,0,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hunan taste restaurant san jose,San Jose,US,0,1630,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data hunan taste restaurant san jose,San Jose,US,1,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hunan taste restaurant san jose,San Jose,US,1,1630,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data hunan taste restaurant san jose,San Jose,US,2,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hunan taste restaurant san jose,San Jose,US,2,1630,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data hunan taste restaurant san jose,San Jose,US,3,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hunan taste restaurant san jose,San Jose,US,3,1630,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data hunan taste restaurant san jose,San Jose,US,4,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hunan taste restaurant san jose,San Jose,US,4,1630,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data hunan taste restaurant san jose,San Jose,US,5,1100,2030
