Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data ippudo ny new york,New York,US,0,1700,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data ippudo ny new york,New York,US,1,1100,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data ippudo ny new york,New York,US,1,1700,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data ippudo ny new york,New York,US,2,1100,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data ippudo ny new york,New York,US,2,1700,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data ippudo ny new york,New York,US,3,1100,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data ippudo ny new york,New York,US,3,1700,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data ippudo ny new york,New York,US,4,1100,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data ippudo ny new york,New York,US,4,1700,0030
PYTHON  DataAnalysis Python Spring   Assignment   Data ippudo ny new york,New York,US,5,1100,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data ippudo ny new york,New York,US,6,1100,2230
