Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,0,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,0,1730,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,1,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,1,1730,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,2,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,2,1730,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,3,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,3,1730,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,4,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,4,1730,0200
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,5,1700,0200
PYTHON  DataAnalysis Python Spring   Assignment   Data izakaya nomad new york,New York,US,6,1700,2300
