Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,0,0600,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,0,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,1,0600,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,1,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,2,0600,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,2,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,3,0600,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,3,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,4,0600,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,4,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,5,0600,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,5,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,6,0600,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data jp charlotte at westin charlotte,Charlotte,US,6,1700,2200
