Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,0,1130,1515
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,0,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,1,1130,1515
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,1,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,2,1130,1515
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,2,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,3,1130,1515
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,3,1600,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,4,1130,1515
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,4,1600,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,5,1130,1515
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,5,1600,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,6,1130,1515
PYTHON  DataAnalysis Python Spring   Assignment   Data julianas pizza brooklyn,Brooklyn,US,6,1600,2200
