Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,0,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,1,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,2,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,3,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,4,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,4,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,5,1200,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data jun shokudo brooklyn,Brooklyn,US,6,1200,2200
