Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,0,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,0,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,1,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,1,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,1,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,2,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,2,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,2,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,3,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,3,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,3,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,4,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,4,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,5,0700,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data le coucou new york,New York,US,6,0700,1400
