Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,0,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,0,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,1,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,1,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,2,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,2,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,3,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,3,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,4,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,4,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,5,1130,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data masa ramen and sake bar san jose,San Jose,US,6,1130,2100
