Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,0,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,0,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,1,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,1,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,2,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,2,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,3,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,3,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,4,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,4,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,5,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data mashawi mediterranean cuisine seattle,Seattle,US,6,1600,2100
