Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,0,1700,2000
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,1,1700,2000
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,2,1700,2000
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,3,1700,2000
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,4,1700,2000
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,5,1300,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data mediterranean kitchen kabob house seattle,Seattle,US,5,1700,2000
