Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data menton boston,Boston,US,0,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data menton boston,Boston,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data menton boston,Boston,US,2,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data menton boston,Boston,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data menton boston,Boston,US,3,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data menton boston,Boston,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data menton boston,Boston,US,4,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data menton boston,Boston,US,4,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data menton boston,Boston,US,5,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data menton boston,Boston,US,6,1700,2100
