Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,1,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,4,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,4,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,5,1030,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,5,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,6,1030,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data montmartre washington,Washington,US,6,1730,2100
