Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,0,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,0,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,1,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,1,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,2,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,2,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,3,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,3,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,4,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,4,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,5,0800,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,5,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data namastay kitchen and hangout charlotte,Charlotte,US,6,0800,1700
