Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,0,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,0,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,1,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,4,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,4,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,5,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data nemea greek taverna san jose,San Jose,US,6,1700,2100
