Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data oishii boston boston,Boston,US,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data oishii boston boston,Boston,US,1,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data oishii boston boston,Boston,US,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data oishii boston boston,Boston,US,2,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data oishii boston boston,Boston,US,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data oishii boston boston,Boston,US,3,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data oishii boston boston,Boston,US,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data oishii boston boston,Boston,US,4,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data oishii boston boston,Boston,US,5,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data oishii boston boston,Boston,US,5,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data oishii boston boston,Boston,US,6,1300,2200
