Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data old europe washington,Washington,US,1,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data old europe washington,Washington,US,1,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data old europe washington,Washington,US,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data old europe washington,Washington,US,2,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data old europe washington,Washington,US,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data old europe washington,Washington,US,3,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data old europe washington,Washington,US,4,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data old europe washington,Washington,US,4,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data old europe washington,Washington,US,5,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data old europe washington,Washington,US,5,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data old europe washington,Washington,US,6,1200,2030
