Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,0,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,0,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,1,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,1,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,2,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,2,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,3,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,3,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,4,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,4,1700,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,5,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,5,1700,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data oppa sushi boston,Boston,US,6,1430,2230
