Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data orinoco boston,Boston,US,1,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data orinoco boston,Boston,US,1,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data orinoco boston,Boston,US,2,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data orinoco boston,Boston,US,2,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data orinoco boston,Boston,US,3,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data orinoco boston,Boston,US,3,1800,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data orinoco boston,Boston,US,4,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data orinoco boston,Boston,US,4,1800,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data orinoco boston,Boston,US,5,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data orinoco boston,Boston,US,5,1800,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data orinoco boston,Boston,US,6,1100,1500
