Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria     dearborn,Dearborn,US,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria     dearborn,Dearborn,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria     dearborn,Dearborn,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria     dearborn,Dearborn,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria     dearborn,Dearborn,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria     dearborn,Dearborn,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria     dearborn,Dearborn,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria     dearborn,Dearborn,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria     dearborn,Dearborn,US,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria     dearborn,Dearborn,US,4,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data osteria     dearborn,Dearborn,US,5,1700,2200
