Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,0,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,1,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,2,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,3,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,4,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,4,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,5,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,5,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,6,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data panza boston,Boston,US,6,1700,2130
