Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data persuasian restaurant charlotte,Charlotte,US,1,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data persuasian restaurant charlotte,Charlotte,US,1,1630,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data persuasian restaurant charlotte,Charlotte,US,2,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data persuasian restaurant charlotte,Charlotte,US,2,1630,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data persuasian restaurant charlotte,Charlotte,US,3,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data persuasian restaurant charlotte,Charlotte,US,3,1630,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data persuasian restaurant charlotte,Charlotte,US,4,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data persuasian restaurant charlotte,Charlotte,US,4,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data persuasian restaurant charlotte,Charlotte,US,5,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data persuasian restaurant charlotte,Charlotte,US,6,1630,2130
