Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,0,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,0,1630,2115
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,1,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,1,1630,2115
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,2,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,2,1630,2115
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,3,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,3,1630,2115
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,4,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,4,1630,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,5,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data petra mediterranean bistro seattle,Seattle,US,5,1630,2130
