Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data pho pho vietnamese and sushi bar birmingham,Birmingham,US,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data pho pho vietnamese and sushi bar birmingham,Birmingham,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data pho pho vietnamese and sushi bar birmingham,Birmingham,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data pho pho vietnamese and sushi bar birmingham,Birmingham,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data pho pho vietnamese and sushi bar birmingham,Birmingham,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data pho pho vietnamese and sushi bar birmingham,Birmingham,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data pho pho vietnamese and sushi bar birmingham,Birmingham,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data pho pho vietnamese and sushi bar birmingham,Birmingham,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data pho pho vietnamese and sushi bar birmingham,Birmingham,US,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data pho pho vietnamese and sushi bar birmingham,Birmingham,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data pho pho vietnamese and sushi bar birmingham,Birmingham,US,5,1100,2300
