Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,0,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,1,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,2,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,3,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,4,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,5,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,5,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,6,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ramen yamadaya san jose,San Jose,US,6,1730,2100
