Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,0,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,0,1700,1930
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,1,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,1,1700,1930
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,2,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,2,1700,1930
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,3,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,3,1700,1930
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,4,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,4,1700,1930
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,5,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data sakura house denver,Denver,US,5,1700,1930
