Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data siam house thai restaurant washington,Washington,US,0,1100,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data siam house thai restaurant washington,Washington,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data siam house thai restaurant washington,Washington,US,1,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data siam house thai restaurant washington,Washington,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data siam house thai restaurant washington,Washington,US,2,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data siam house thai restaurant washington,Washington,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data siam house thai restaurant washington,Washington,US,3,1630,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data siam house thai restaurant washington,Washington,US,4,1100,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data siam house thai restaurant washington,Washington,US,5,1200,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data siam house thai restaurant washington,Washington,US,6,1200,2200
