Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,1,1200,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,1,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,2,1200,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,2,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,3,1200,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,3,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,4,1200,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,4,1700,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,5,1200,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,5,1800,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,6,1200,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data soco brooklyn,Brooklyn,US,6,1800,2230
