Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data sushi ginza onodera new york,New York,US,0,1200,1330
PYTHON  DataAnalysis Python Spring   Assignment   Data sushi ginza onodera new york,New York,US,0,1800,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data sushi ginza onodera new york,New York,US,1,1200,1330
PYTHON  DataAnalysis Python Spring   Assignment   Data sushi ginza onodera new york,New York,US,1,1800,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data sushi ginza onodera new york,New York,US,2,1200,1330
PYTHON  DataAnalysis Python Spring   Assignment   Data sushi ginza onodera new york,New York,US,2,1800,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data sushi ginza onodera new york,New York,US,3,1200,1330
PYTHON  DataAnalysis Python Spring   Assignment   Data sushi ginza onodera new york,New York,US,3,1800,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data sushi ginza onodera new york,New York,US,4,1200,1330
PYTHON  DataAnalysis Python Spring   Assignment   Data sushi ginza onodera new york,New York,US,4,1800,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data sushi ginza onodera new york,New York,US,5,1800,2030
