Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,0,1600,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,1,1600,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,2,1600,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,3,1600,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,4,1600,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,5,1500,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data table thai bar and bistro las vegas,Las Vegas,US,6,1500,2300
