Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,0,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,1,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,2,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,3,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,4,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,4,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,5,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,5,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,6,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data taj india birmingham,Birmingham,US,6,1700,2100
