Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,5,1130,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data thai pad washington,Washington,US,6,1130,2200
