Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,0,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,0,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,1,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,1,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,2,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,2,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,3,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,3,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,4,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,4,1700,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,5,1700,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data the franklin room chicago,Chicago,US,6,1700,2200
