Words,Frequency,Rank
the,13721,1
and,6024,2
that,2982,3
his,2459,4
with,1659,5
was,1632,6
all,1462,7
for,1414,8
this,1280,9
but,1113,10
not,1103,11
him,1058,12
from,1052,13
whale,906,14
one,889,15
you,841,16
had,767,17
have,760,18
there,715,19
But,705,20
were,680,21
now,646,22
which,640,23
like,624,24
their,612,25
The,612,26
are,586,27
they,586,28
some,578,29
then,571,30
when,553,31
upon,538,32
out,529,33
into,520,34
man,508,35
ship,507,36
more,501,37
Ahab,501,38
them,471,39
what,442,40
old,436,41
sea,433,42
would,421,43
been,415,44
other,412,45
over,403,46
these,381,47
will,379,48
its,372,49
And,369,50
down,364,51
only,360,52
such,336,53
head,335,54
though,335,55
boat,330,56
her,329,57
time,324,58
any,320,59
who,319,60
long,318,61
very,311,62
than,309,63
about,304,64
said,302,65
yet,300,66
still,299,67
those,297,68
before,293,69
great,293,70
has,287,71
two,285,72
seemed,283,73
Whale,282,74
must,282,75
last,277,76
most,277,77
here,272,78
way,269,79
Stubb,255,80
again,254,81
see,253,82
Queequeg,252,83
after,252,84
little,247,85
did,246,86
round,242,87
your,240,88
three,237,89
whales,237,90
say,237,91
men,236,92
thou,232,93
may,230,94
through,227,95
every,222,96
can,220,97
being,219,98
much,218,99
off,217,100
while,216,101
could,215,102
Captain,215,103
same,213,104
first,210,105
side,208,106
own,205,107
hand,205,108
himself,203,109
ever,203,110
our,199,111
For,197,112
Starbuck,196,113
never,195,114
good,192,115
white,191,116
where,190,117
deck,189,118
thing,188,119
how,187,120
almost,186,121
water,185,122
too,184,123
might,183,124
should,181,125
even,181,126
made,178,127
away,175,128
well,174,129
What,174,130
world,173,131
Pequod,172,132
day,172,133
life,162,134
seen,161,135
many,161,136
far,161,137
among,158,138
eyes,155,139
cried,155,140
without,154,141
look,154,142
sort,152,143
know,151,144
back,151,145
come,150,146
thought,149,147
part,149,148
There,147,149
night,147,150
boats,145,151
once,144,152
sir,143,153
line,141,154
air,141,155
crew,139,156
Now,139,157
whole,136,158
Sperm,135,159
half,135,160
fish,133,161
things,132,162
against,132,163
God,132,164
came,130,165
thee,129,166
each,127,167
feet,125,168
small,125,169
mast,124,170
hands,123,171
tell,122,172
till,121,173
full,121,174
let,120,175
something,119,176
both,118,177
take,118,178
between,117,179
under,117,180
place,116,181
called,116,182
whaling,116,183
found,115,184
saw,115,185
soon,113,186
captain,112,187
times,111,188
think,111,189
body,110,190
just,110,191
along,110,192
heard,110,193
make,109,194
thus,107,195
towards,107,196
This,107,197
poor,106,198
another,106,199
sight,105,200
moment,105,201
thy,105,202
Flask,104,203
sperm,104,204
she,103,205
don,103,206
sun,102,207
nothing,102,208
high,100,209
end,99,210
right,97,211
went,97,212
strange,96,213
sail,96,214
years,94,215
face,94,216
voyage,93,217
few,92,218
get,92,219
dead,90,220
heart,90,221
oil,90,222
White,89,223
does,89,224
stood,89,225
hold,89,226
arm,88,227
eye,88,228
also,88,229
certain,87,230
ships,87,231
Aye,87,232
leg,86,233
whose,86,234
matter,86,235
heads,85,236
That,85,237
Nantucket,85,238
iron,85,239
seem,85,240
shall,84,241
Dick,84,242
Jonah,84,243
itself,84,244
Moby,84,245
seems,84,246
stand,83,247
soul,83,248
going,83,249
black,83,250
perhaps,82,251
indeed,82,252
wild,82,253
sometimes,81,254
days,80,255
known,80,256
always,80,257
seas,80,258
nor,80,259
present,80,260
however,80,261
hard,79,262
mind,79,263
cabin,79,264
within,78,265
length,78,266
land,78,267
They,78,268
tail,78,269
light,77,270
large,77,271
instant,77,272
harpooneer,77,273
Nor,76,274
fire,76,275
Bildad,76,276
harpoon,76,277
word,76,278
bed,76,279
whether,76,280
young,76,281
open,75,282
mate,75,283
least,75,284
Peleg,74,285
done,74,286
set,74,287
enough,74,288
four,74,289
beneath,74,290
true,73,291
standing,73,292
vast,73,293
living,73,294
board,73,295
because,73,296
put,72,297
give,71,298
death,71,299
whalemen,71,300
ocean,71,301
why,71,302
point,70,303
name,69,304
cannot,69,305
waters,69,306
near,69,307
case,69,308
deep,69,309
rather,68,310
Pip,68,311
aye,68,312
looking,68,313
often,68,314
myself,68,315
morning,68,316
top,68,317
lay,67,318
business,67,319
left,67,320
wind,67,321
How,67,322
turned,66,323
ere,66,324
keep,66,325
general,65,326
together,64,327
order,64,328
Leviathan,64,329
reason,64,330
looked,64,331
since,63,332
best,62,333
work,62,334
having,62,335
hear,60,336
live,60,337
mouth,60,338
better,60,339
themselves,59,340
With,59,341
short,59,342
further,59,343
blood,59,344
dark,58,345
gone,58,346
jaw,58,347
spout,58,348
fine,57,349
lower,57,350
Then,57,351
room,57,352
rope,57,353
Indian,57,354
feel,56,355
home,56,356
Well,56,357
above,56,358
chase,56,359
peculiar,56,360
broad,56,361
therefore,56,362
entire,55,363
All,55,364
find,55,365
fishery,54,366
craft,54,367
turn,54,368
goes,54,369
ivory,54,370
second,54,371
vessel,54,372
His,54,373
savage,54,374
close,54,375
Tashtego,54,376
began,53,377
curious,53,378
aloft,53,379
fellow,53,380
turning,52,381
When,52,382
comes,52,383
bottom,52,384
call,52,385
watch,52,386
forth,52,387
Right,51,388
run,51,389
Look,51,390
less,51,391
devil,51,392
thousand,51,393
broken,50,394
taking,50,395
hundred,50,396
green,50,397
main,50,398
sharks,50,399
taken,50,400
new,50,401
behind,50,402
bone,50,403
coming,50,404
sailors,50,405
boy,50,406
cut,50,407
wide,50,408
rest,50,409
Yes,49,410
ground,49,411
try,49,412
mark,49,413
took,49,414
bows,49,415
particular,49,416
Though,49,417
sailor,49,418
monster,49,419
Here,49,420
Why,48,421
stranger,48,422
used,48,423
bones,48,424
waves,48,425
stern,48,426
forward,48,427
common,48,428
New,47,429
speak,47,430
You,47,431
struck,47,432
Not,47,433
fast,47,434
slowly,47,435
teeth,47,436
story,47,437
kept,47,438
mighty,47,439
fact,46,440
several,46,441
voice,46,442
view,46,443
next,46,444
earth,46,445
English,46,446
got,46,447
below,46,448
else,46,449
straight,46,450
chance,46,451
mine,45,452
sails,45,453
making,45,454
lost,45,455
door,45,456
suddenly,45,457
Yet,45,458
ten,45,459
told,45,460
lance,45,461
sat,45,462
touching,45,463
whaleman,44,464
sleep,44,465
caught,44,466
says,44,467
form,44,468
sure,44,469
Who,44,470
Lord,44,471
bow,44,472
means,44,473
running,44,474
hole,44,475
quarter,44,476
especially,44,477
whatever,44,478
nigh,44,479
queer,44,480
noble,44,481
grand,43,482
whom,43,483
rolled,43,484
knew,43,485
seamen,43,486
blue,43,487
five,43,488
somehow,43,489
house,43,490
surface,42,491
people,42,492
hours,42,493
sharp,42,494
sudden,42,495
creature,42,496
mere,42,497
calm,41,498
brow,41,499
wondrous,41,500
felt,41,501
sound,41,502
anything,41,503
quite,41,504
parts,41,505
passed,41,506
cook,41,507
course,41,508
coast,40,509
pipe,40,510
wake,40,511
ready,40,512
Steelkilt,40,513
saying,40,514
heaven,40,515
hour,40,516
hat,39,517
distance,39,518
plainly,39,519
gold,39,520
either,39,521
mortal,39,522
mass,39,523
single,39,524
purpose,39,525
Thou,39,526
mean,39,527
object,39,528
cry,39,529
art,39,530
makes,39,531
carpenter,39,532
mates,39,533
clear,39,534
Some,38,535
Cape,38,536
Let,38,537
sailed,38,538
leaving,38,539
book,38,540
darted,38,541
concerning,38,542
gave,38,543
brought,38,544
easy,38,545
King,37,546
brain,37,547
pull,37,548
help,37,549
held,37,550
manner,37,551
heavy,37,552
others,37,553
shot,37,554
fixed,37,555
alone,37,556
plain,37,557
arms,37,558
power,37,559
forehead,37,560
lines,37,561
gentlemen,37,562
flukes,36,563
placed,36,564
aspect,36,565
red,36,566
fell,36,567
unknown,36,568
ago,36,569
coffin,36,570
sign,36,571
given,36,572
use,36,573
mad,36,574
around,36,575
oars,36,576
bulwarks,36,577
skin,36,578
various,36,579
rolling,35,580
suppose,35,581
low,35,582
cutting,35,583
Don,35,584
middle,35,585
legs,35,586
famous,35,587
Greenland,35,588
table,35,589
sky,35,590
weather,35,591
human,35,592
remained,34,593
American,34,594
creatures,34,595
turns,34,596
previous,34,597
Daggoo,34,598
thoughts,34,599
Such,34,600
forecastle,34,601
boys,34,602
nature,34,603
wonder,34,604
strong,34,605
holding,34,606
wood,34,607
blubber,34,608
sailing,33,609
foot,33,610
nearly,33,611
idea,33,612
hammock,33,613
twenty,33,614
skeleton,33,615
none,33,616
completely,33,617
killed,33,618
fifty,33,619
rigging,33,620
born,33,621
company,33,622
Fish,33,623
ashore,33,624
fresh,32,625
show,32,626
doubt,32,627
fear,32,628
passage,32,629
intervals,32,630
want,32,631
Pacific,32,632
account,32,633
steel,32,634
proper,32,635
drawing,32,636
visible,32,637
bear,32,638
jet,32,639
bulk,32,640
storm,32,641
tossed,31,642
natural,31,643
darkness,31,644
cast,31,645
fair,31,646
helm,31,647
free,31,648
planks,31,649
substance,31,650
across,31,651
quick,31,652
nose,31,653
aft,31,654
leviathan,31,655
miles,31,656
species,31,657
six,31,658
hardly,31,659
except,31,660
soft,31,661
possible,30,662
carried,30,663
act,30,664
hung,30,665
While,30,666
upper,30,667
touch,30,668
works,30,669
kill,30,670
snow,30,671
die,30,672
hull,30,673
harpoons,30,674
smoke,30,675
truth,30,676
really,30,677
chief,30,678
jaws,30,679
hoisted,30,680
cold,30,681
instances,30,682
vain,30,683
won,30,684
Besides,30,685
hammer,30,686
generally,30,687
strangely,29,688
Come,29,689
huge,29,690
play,29,691
third,29,692
battle,29,693
late,29,694
hearts,29,695
entirely,29,696
Whales,29,697
swimming,29,698
stands,29,699
flying,29,700
altogether,29,701
rising,29,702
question,29,703
final,29,704
pass,29,705
pointed,29,706
possibly,29,707
knife,29,708
royal,29,709
unless,29,710
Where,29,711
mariners,29,712
hunters,28,713
sides,28,714
become,28,715
oar,28,716
bound,28,717
mild,28,718
coat,28,719
already,28,720
leeward,28,721
start,28,722
lamp,28,723
glance,28,724
command,28,725
gale,28,726
feeling,28,727
ancient,28,728
One,28,729
strike,28,730
words,28,731
seeing,28,732
spring,28,733
forty,28,734
knows,28,735
Parsee,28,736
astern,28,737
Sir,28,738
pretty,28,739
person,28,740
fishermen,28,741
dropped,27,742
somewhat,27,743
suspended,27,744
certainly,27,745
landlord,27,746
Fedallah,27,747
overboard,27,748
scene,27,749
hope,27,750
yards,27,751
island,27,752
kind,27,753
thick,27,754
looks,27,755
alongside,27,756
ice,27,757
precisely,27,758
shark,27,759
wholly,27,760
ahead,27,761
bit,27,762
sideways,27,763
eyeing,27,764
lightning,26,765
started,26,766
pole,26,767
bodily,26,768
horse,26,769
yes,26,770
thirty,26,771
From,26,772
blow,26,773
read,26,774
ears,26,775
followed,26,776
hair,26,777
vessels,26,778
seated,26,779
rose,26,780
otherwise,26,781
enormous,26,782
lie,26,783
wooden,26,784
masts,26,785
chest,26,786
getting,26,787
degree,26,788
Upon,26,789
received,26,790
fancy,26,791
whiteness,26,792
yourself,26,793
giving,26,794
year,26,795
duty,25,796
supper,25,797
pilot,25,798
complete,25,799
learned,25,800
fin,25,801
cases,25,802
stop,25,803
interval,25,804
wife,25,805
steady,25,806
added,25,807
friend,25,808
leaning,25,809
bearing,25,810
alive,25,811
hump,25,812
front,25,813
skull,25,814
similar,25,815
woe,25,816
carry,25,817
port,25,818
thinking,25,819
hinted,25,820
cruising,25,821
thrown,25,822
gods,25,823
country,25,824
Thus,25,825
believe,25,826
self,25,827
takes,25,828
silent,25,829
number,25,830
keel,25,831
drawn,25,832
king,25,833
escape,24,834
secret,24,835
beat,24,836
ran,24,837
dart,24,838
hunt,24,839
remains,24,840
Lakeman,24,841
orders,24,842
afterwards,24,843
Dutch,24,844
First,24,845
pursuit,24,846
became,24,847
circle,24,848
swift,24,849
regular,24,850
perils,24,851
thyself,24,852
watery,24,853
midnight,24,854
drop,24,855
grow,24,856
wise,24,857
exactly,24,858
different,24,859
eight,24,860
love,24,861
aside,24,862
bright,24,863
Stand,24,864
floating,24,865
seldom,24,866
spread,24,867
warm,24,868
lances,23,869
shore,23,870
remain,23,871
hot,23,872
master,23,873
headed,23,874
lad,23,875
fiery,23,876
somewhere,23,877
thunder,23,878
commanded,23,879
break,23,880
fore,23,881
hence,23,882
answer,23,883
Good,23,884
war,23,885
Like,23,886
spot,23,887
sweet,23,888
flew,23,889
wall,23,890
strength,23,891
hidden,23,892
striking,23,893
chapter,23,894
hint,23,895
speaking,23,896
regarded,23,897
blows,23,898
higher,23,899
flesh,23,900
following,23,901
during,23,902
beyond,23,903
level,23,904
honour,23,905
sword,23,906
state,23,907
instead,23,908
finally,23,909
souls,22,910
tall,22,911
windward,22,912
gazing,22,913
wonderful,22,914
seventy,22,915
Sea,22,916
scuttle,22,917
rear,22,918
dashed,22,919
game,22,920
Radney,22,921
owing,22,922
yellow,22,923
stove,22,924
descried,22,925
