Name,City,Country Code,Days,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
PYTHON  DataAnalysis Python Spring   Assignment   Data   abercrombie lane sydney,Sydney,AU,0,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data   abercrombie lane sydney,Sydney,AU,1,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data   abercrombie lane sydney,Sydney,AU,2,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data   abercrombie lane sydney,Sydney,AU,3,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data   abercrombie lane sydney,Sydney,AU,4,11,30,23,00
PYTHON  DataAnalysis Python Spring   Assignment   Data   abercrombie lane sydney,Sydney,AU,5,16,00,23,00
PYTHON  DataAnalysis Python Spring   Assignment   Data   abercrombie lane sydney,Sydney,AU,6,16,00,21,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,0,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,1,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,2,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,3,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,4,11,30,23,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,5,16,00,23,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,6,16,00,21,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    inch pizza melbourne,Melbourne,AU,0,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    inch pizza melbourne,Melbourne,AU,1,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    inch pizza melbourne,Melbourne,AU,2,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    inch pizza melbourne,Melbourne,AU,3,11,30,22,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    inch pizza melbourne,Melbourne,AU,4,11,30,23,00
PYTHON  DataAnalysis Python Spring   Assignment   Data    inch pizza melbourne,Melbourne,AU,5,16,00,23,00
